,Unnamed: 0,vpp0ch0,vpp1ch1,vpp2ch2,vpp3ch3,UVC,UVB,Rch,Gch,Bch,QilMax,VR1,VR4,VR5,VR5B,qpermax,sigmavis,name,target,qilmax
99,9,4486160,1693360,661486,439907,5473577,12047069,356901,1180395,1705029,377,762,175,1070,856,0.632566618968844,3242325,Rossignol Blue base ski1,1,0.4327164256620776
100,0,4208264,1749541,726744,474067,4971480,9967513,536832,1253171,1526807,415,704,192,1411,1128,0.6519097653847664,3316810,Rossignol Red base ski6,1,0.4340291531666954
101,1,4236317,1750727,746107,486180,4858483,10118179,536345,1254008,1528266,413,686,191,1414,1131,0.6512888669422834,3318619,Rossignol Red base ski6,1,0.431530759546097
102,2,4213131,1738301,732515,475302,4831835,10156683,537855,1253554,1527765,412,696,191,1412,1130,0.6336676020958848,3319174,Rossignol Red base ski6,1,0.430523753130981
103,3,4222199,1742037,739297,482351,4830143,10211660,538269,1256337,1528454,412,698,190,1395,1116,0.6379808825455021,3323060,Rossignol Red base ski6,1,0.4296369918824099
104,4,4210234,1742384,735374,473292,4837898,10252032,537191,1255368,1525375,413,704,193,1460,1168,0.6558044619543051,3317934,Rossignol Red base ski6,1,0.4346108524552297
105,5,4202211,1718696,707556,458528,4847175,10276417,536796,1254754,1526592,408,711,190,1302,1041,0.6357446964692065,3318142,Rossignol Red base ski6,1,0.4333595843666412
106,6,4218662,1733978,731669,474247,4842641,10270695,536579,1255091,1527452,411,710,191,1413,1131,0.6459724850078569,3319122,Rossignol Red base ski6,1,0.4342515313174641
107,7,4221356,1744344,728697,476027,4848382,10308798,537801,1254316,1525850,413,691,190,1404,1123,0.6332253831397432,3317967,Rossignol Red base ski6,1,0.4308557305021908
108,8,4225322,1728657,725222,476237,4825264,10299225,536812,1255023,1525527,409,709,187,1417,1134,0.6464301789391644,3317362,Rossignol Red base ski6,1,0.4305579755255047
109,9,4217670,1730565,734158,471558,4825264,10342482,536615,1254806,1525572,410,725,192,1427,1141,0.632566618968844,3316993,Rossignol Red base ski6,1,0.4327164256620776
110,0,4721930,2194389,735153,522299,4960314,7880261,322574,867485,999221,464,759,298,1236,989,0.6519097653847664,2189280,Rossignol black base ski1,1,0.4340291531666954
111,1,4711164,2189451,741029,523094,4829565,7949830,323401,868407,998254,464,747,300,1200,960,0.6512888669422834,2190062,Rossignol black base ski1,1,0.431530759546097
112,2,4732709,2185365,736284,526814,4827654,7965747,322969,868345,998692,461,736,294,1150,920,0.6336676020958848,2190006,Rossignol black base ski1,1,0.430523753130981
113,3,4739668,2190171,738628,528478,4825295,8000259,324785,868822,999310,462,743,294,1156,925,0.6379808825455021,2192917,Rossignol black base ski1,1,0.4296369918824099
114,4,4726867,2191482,733645,536849,4807841,8018315,323347,867739,1001261,463,744,288,1080,864,0.6558044619543051,2192347,Rossignol black base ski1,1,0.4346108524552297
115,5,4737010,2201661,746891,527498,4819388,8028574,323024,868061,998531,464,736,300,1230,984,0.6357446964692065,2189616,Rossignol black base ski1,1,0.4333595843666412
116,6,4730218,2188312,742676,530203,4799674,8068118,323760,869290,1000375,462,735,295,1226,980,0.6459724850078569,2193425,Rossignol black base ski1,1,0.4342515313174641
